MySQL [db]> SELECT * FROM user_log;
+----+-----------------+---------------------+
| id | user_profile_id | date_time           |
+----+-----------------+---------------------+
| 23 |          173234 | 2020-06-03 16:49:49 |
| 24 |          709274 | 2020-06-03 16:49:49 |
| 25 |          343986 | 2020-06-03 16:49:51 |
| 26 |          709274 | 2020-06-03 16:49:51 |
| 27 |          343986 | 2020-06-03 16:49:54 |
| 28 |          984079 | 2020-06-03 16:49:54 |
| 29 |          222510 | 2020-06-03 16:49:56 |
| 30 |          984079 | 2020-06-03 16:49:56 |
| 31 |          741730 | 2020-06-03 16:49:58 |
| 32 |          222510 | 2020-06-03 16:49:58 |
| 33 |          741730 | 2020-06-03 16:50:00 |
| 34 |          514202 | 2020-06-03 16:50:01 |
| 35 |          514202 | 2020-06-03 16:50:03 |
| 36 |          931932 | 2020-06-03 16:50:04 |
| 37 |          931932 | 2020-06-03 16:50:06 |
| 38 |          486790 | 2020-06-03 16:50:06 |
| 39 |          486790 | 2020-06-03 16:50:09 |
| 40 |           96026 | 2020-06-03 16:50:10 |
| 41 |           96026 | 2020-06-03 16:50:12 |
| 42 |          801517 | 2020-06-03 16:50:12 |
| 43 |          801517 | 2020-06-03 16:50:14 |
| 44 |          917679 | 2020-06-03 16:50:14 |
| 45 |          917679 | 2020-06-03 16:50:17 |
| 46 |          824842 | 2020-06-03 16:50:17 |
| 47 |          824842 | 2020-06-03 16:50:20 |
| 48 |          951059 | 2020-06-03 16:50:20 |
| 49 |          951059 | 2020-06-03 16:50:22 |
| 50 |          877212 | 2020-06-03 16:50:22 |
| 51 |          877212 | 2020-06-03 16:50:25 |
| 52 |          710454 | 2020-06-03 16:50:25 |
| 53 |          710454 | 2020-06-03 16:50:28 |
| 54 |          498753 | 2020-06-03 16:50:28 |
| 55 |          498753 | 2020-06-03 16:50:30 |
| 56 |          284461 | 2020-06-03 16:50:30 |
| 57 |          284461 | 2020-06-03 16:50:33 |
| 58 |          735261 | 2020-06-03 16:50:34 |
| 59 |          735261 | 2020-06-03 16:50:36 |
| 60 |          719225 | 2020-06-03 16:50:36 |
| 61 |          719225 | 2020-06-03 16:50:39 |
| 62 |          340336 | 2020-06-03 16:50:39 |
| 63 |          340336 | 2020-06-03 16:50:42 |
| 64 |          994001 | 2020-06-03 16:50:42 |
| 65 |          994001 | 2020-06-03 16:50:45 |
| 66 |          262772 | 2020-06-03 16:50:45 |
+----+-----------------+---------------------+
44 rows in set (0.002 sec)
